                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.69804,                0.48514,                  0.943,                0.98678,                      1,                  0.995,                0.82325,                0.66569,                0.43622,                0.87973,              0.0015248,              0.0015248,              0.0015248
                     38,                0.65729,                0.46527,                0.95772,                0.99723,                      1,                  0.995,                0.81933,                0.75627,                0.42563,                0.89382,              0.0015116,              0.0015116,              0.0015116
                     39,                0.66277,                0.46295,                0.94341,                0.99632,                      1,                  0.995,                0.82483,                0.73094,                0.48029,                0.88799,              0.0014984,              0.0014984,              0.0014984
                     40,                0.69943,                0.49496,                0.96939,                0.99516,                      1,                  0.995,                0.82021,                0.68829,                0.52881,                0.88109,              0.0014852,              0.0014852,              0.0014852
                     41,                 0.6808,                0.45966,                0.94669,                0.99716,                      1,                  0.995,                0.82531,                0.64862,                0.41784,                0.88187,               0.001472,               0.001472,               0.001472
                     42,                0.63991,                0.46533,                0.94012,                 0.9972,                      1,                  0.995,                0.80497,                0.62558,                0.40975,                0.87694,              0.0014588,              0.0014588,              0.0014588
                     43,                 0.7121,                0.48424,                0.95158,                0.99702,                      1,                  0.995,                0.83121,                0.64802,                0.48506,                0.85624,              0.0014456,              0.0014456,              0.0014456
                     44,                0.64477,                0.45873,                0.91373,                0.99191,                      1,                  0.995,                0.83219,                 0.5922,                0.41439,                0.85821,              0.0014324,              0.0014324,              0.0014324
                     45,                0.66101,                0.46914,                0.95485,                0.96349,                      1,                  0.995,                0.82315,                0.54231,                0.41719,                0.84387,              0.0014192,              0.0014192,              0.0014192
                     46,                 0.6373,                 0.4403,                0.93435,                0.98462,                      1,                  0.995,                0.83791,                0.60299,                0.35753,                0.84816,               0.001406,               0.001406,               0.001406
                     47,                0.65596,                0.43751,                0.91596,                 0.9949,                      1,                  0.995,                0.84583,                0.53703,                0.31797,                0.83446,              0.0013928,              0.0013928,              0.0013928
                     48,                0.60479,                0.42814,                 0.8967,                0.99499,                      1,                  0.995,                0.86419,                0.63608,                0.34236,                0.86256,              0.0013796,              0.0013796,              0.0013796
                     49,                0.63952,                0.42253,                0.91577,                 0.9967,                      1,                  0.995,                0.86309,                 0.6635,                0.35335,                0.86108,              0.0013664,              0.0013664,              0.0013664
                     50,                  0.626,                0.43579,                 0.9157,                0.99774,                      1,                  0.995,                 0.8888,                 0.5714,                0.34324,                0.85442,              0.0013532,              0.0013532,              0.0013532
                     51,                0.58786,                0.41673,                0.90029,                0.99766,                      1,                  0.995,                0.88348,                0.58558,                0.35401,                0.85493,                0.00134,                0.00134,                0.00134
                     52,                0.60525,                0.40886,                0.88773,                0.99049,                      1,                  0.995,                0.87571,                0.62646,                  0.371,                0.83903,              0.0013268,              0.0013268,              0.0013268
                     53,                0.62412,                0.43362,                 0.9094,                0.99712,                      1,                  0.995,                0.86725,                0.50949,                0.40135,                0.82516,              0.0013136,              0.0013136,              0.0013136
                     54,                0.61401,                0.41451,                0.91004,                0.98051,                      1,                  0.995,                0.87231,                0.59146,                0.39568,                 0.8693,              0.0013004,              0.0013004,              0.0013004
                     55,                0.58804,                0.40852,                0.88788,                 0.9949,                      1,                  0.995,                0.86726,                0.58449,                0.35354,                0.82379,              0.0012872,              0.0012872,              0.0012872
                     56,                 0.6024,                0.40563,                0.91346,                0.96062,                      1,                0.98389,                0.86182,                0.50702,                0.35319,                0.82375,               0.001274,               0.001274,               0.001274
                     57,                0.60306,                0.41725,                0.90492,                0.96043,                      1,                0.98241,                 0.8567,                0.64547,                0.41306,                0.84028,              0.0012608,              0.0012608,              0.0012608
                     58,                0.58742,                0.41409,                0.89114,                0.99751,                      1,                  0.995,                0.84464,                0.64536,                0.39048,                0.84251,              0.0012476,              0.0012476,              0.0012476
                     59,                0.56557,                0.40432,                0.90782,                0.99488,                      1,                  0.995,                0.87286,                0.57821,                0.39458,                0.84188,              0.0012344,              0.0012344,              0.0012344
                     60,                 0.5418,                0.37432,                0.89608,                0.99777,                      1,                  0.995,                0.89212,                0.50745,                0.35656,                0.83626,              0.0012212,              0.0012212,              0.0012212
