                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.54441,                0.34854,                0.89556,                0.99757,                      1,                  0.995,                0.89708,                0.59892,                0.31785,                0.81703,              0.0011024,              0.0011024,              0.0011024
                     70,                0.53247,                0.35373,                0.89941,                0.99765,                      1,                  0.995,                0.87902,                0.42927,                0.31426,                0.80625,              0.0010892,              0.0010892,              0.0010892
                     71,                0.50878,                0.33714,                0.88959,                0.99354,                      1,                  0.995,                0.88746,                0.54117,                0.29787,                 0.8128,               0.001076,               0.001076,               0.001076
                     72,                0.50571,                0.33611,                0.89438,                0.99757,                      1,                  0.995,                0.87286,                0.57663,                0.29318,                0.81603,              0.0010628,              0.0010628,              0.0010628
                     73,                0.50836,                0.33038,                0.90339,                0.96007,                      1,                0.99389,                0.85294,                0.47707,                0.29082,                0.80657,              0.0010496,              0.0010496,              0.0010496
                     74,                0.48583,                0.32451,                0.89113,                0.99768,                      1,                  0.995,                0.87108,                0.47435,                0.25685,                0.80745,              0.0010364,              0.0010364,              0.0010364
                     75,                0.50445,                0.33518,                 0.8956,                 0.9974,                      1,                  0.995,                0.86829,                0.60269,                0.34712,                0.81274,              0.0010232,              0.0010232,              0.0010232
                     76,                0.50298,                 0.3299,                0.88598,                0.99755,                      1,                  0.995,                0.86635,                0.51646,                0.32914,                0.81074,                0.00101,                0.00101,                0.00101
                     77,                0.49339,                0.32608,                0.89036,                0.99764,                      1,                  0.995,                0.89974,                0.62788,                 0.3375,                0.81819,              0.0009968,              0.0009968,              0.0009968
                     78,                0.50102,                0.33571,                0.89762,                0.99759,                      1,                  0.995,                0.85249,                0.55813,                0.30605,                0.81543,              0.0009836,              0.0009836,              0.0009836
                     79,                0.49548,                0.32362,                0.88953,                0.99776,                      1,                  0.995,                0.86556,                0.57859,                0.28539,                0.81501,              0.0009704,              0.0009704,              0.0009704
                     80,                0.51003,                0.33602,                0.91166,                0.99768,                      1,                  0.995,                0.83346,                0.53953,                0.25831,                0.81718,              0.0009572,              0.0009572,              0.0009572
                     81,                0.47753,                0.31573,                0.88437,                0.99769,                      1,                  0.995,                0.87874,                0.47701,                0.29152,                0.81245,               0.000944,               0.000944,               0.000944
                     82,                0.48229,                 0.3291,                0.88098,                0.99693,                      1,                  0.995,                0.85828,                0.55094,                0.27048,                0.81651,              0.0009308,              0.0009308,              0.0009308
                     83,                0.47303,                0.31809,                0.86893,                0.99737,                      1,                  0.995,                0.86046,                0.61904,                0.32559,                0.82645,              0.0009176,              0.0009176,              0.0009176
                     84,                0.47734,                0.31094,                 0.8779,                0.99756,                      1,                  0.995,                 0.8537,                0.66663,                0.32804,                0.82533,              0.0009044,              0.0009044,              0.0009044
                     85,                0.48862,                0.32002,                0.89127,                 0.9975,                      1,                  0.995,                 0.8774,                0.53899,                0.30249,                0.81173,              0.0008912,              0.0008912,              0.0008912
                     86,                0.45241,                0.29138,                0.88596,                0.99767,                      1,                  0.995,                0.90071,                0.61461,                0.34862,                0.81777,               0.000878,               0.000878,               0.000878
                     87,                0.47768,                0.30574,                0.88657,                0.96072,                      1,                0.98944,                0.87932,                0.50799,                0.29034,                0.80483,              0.0008648,              0.0008648,              0.0008648
                     88,                0.47634,                0.31031,                0.88914,                0.99773,                      1,                  0.995,                0.88166,                0.57984,                0.36332,                 0.8071,              0.0008516,              0.0008516,              0.0008516
                     89,                 0.4528,                 0.3059,                0.87182,                0.99778,                      1,                  0.995,                0.90834,                0.46944,                0.31797,                0.80183,              0.0008384,              0.0008384,              0.0008384
                     90,                0.47273,                0.30803,                0.88826,                0.99766,                      1,                  0.995,                0.87788,                0.58925,                0.35219,                0.81291,              0.0008252,              0.0008252,              0.0008252
                     91,                0.47302,                 0.3134,                0.89003,                0.99764,                      1,                  0.995,                0.86576,                0.62304,                0.28962,                0.83006,               0.000812,               0.000812,               0.000812
                     92,                0.45411,                0.30099,                0.88083,                0.99762,                      1,                  0.995,                0.87352,                0.53739,                0.38304,                0.81263,              0.0007988,              0.0007988,              0.0007988
                     93,                0.46308,                  0.303,                0.88954,                 0.9977,                      1,                  0.995,                0.87598,                0.52728,                0.25735,                0.80925,              0.0007856,              0.0007856,              0.0007856
                     94,                 0.4624,                0.30131,                0.88351,                0.99773,                      1,                  0.995,                 0.8972,                0.51359,                0.27585,                0.80719,              0.0007724,              0.0007724,              0.0007724
                     95,                 0.4708,                0.30965,                0.87642,                0.99756,                      1,                  0.995,                0.87472,                0.68489,                0.29689,                0.83207,              0.0007592,              0.0007592,              0.0007592
                     96,                0.47746,                0.29618,                0.87602,                0.99768,                      1,                  0.995,                0.87305,                0.48465,                0.26174,                0.80955,               0.000746,               0.000746,               0.000746
                     97,                0.46182,                0.30473,                0.88214,                0.99773,                      1,                  0.995,                0.89856,                0.44493,                0.22907,                 0.8002,              0.0007328,              0.0007328,              0.0007328
                     98,                0.45105,                0.29616,                0.87859,                0.99757,                      1,                  0.995,                0.88243,                0.50643,                0.23012,                0.79832,              0.0007196,              0.0007196,              0.0007196
                     99,                0.45462,                0.29181,                0.88303,                      1,                      1,                  0.995,                0.90628,                 0.5797,                0.25204,                0.81346,              0.0007064,              0.0007064,              0.0007064
                    100,                0.44223,                0.28937,                0.86794,                0.99775,                      1,                  0.995,                0.87905,                0.63519,                 0.2732,                0.81814,              0.0006932,              0.0006932,              0.0006932
                    101,                 0.4589,                 0.2981,                0.88062,                0.99772,                      1,                  0.995,                0.89501,                0.51342,                0.27293,                0.80759,                0.00068,                0.00068,                0.00068
                    102,                0.44676,                0.30111,                0.87789,                0.99274,                      1,                  0.995,                0.87451,                0.62555,                0.30422,                0.82363,              0.0006668,              0.0006668,              0.0006668
                    103,                0.45567,                0.29992,                0.87052,                0.99775,                      1,                  0.995,                0.88413,                0.62932,                  0.353,                0.83324,              0.0006536,              0.0006536,              0.0006536
                    104,                0.43415,                0.29123,                0.86266,                0.99763,                      1,                  0.995,                0.90313,                0.56494,                0.33059,                 0.8235,              0.0006404,              0.0006404,              0.0006404
                    105,                0.42666,                 0.2871,                0.87136,                 0.9977,                      1,                  0.995,                0.87673,                0.75803,                0.32338,                0.85416,              0.0006272,              0.0006272,              0.0006272
                    106,                 0.4317,                0.29398,                0.86601,                0.99768,                      1,                  0.995,                0.86919,                0.71001,                0.29123,                0.87166,               0.000614,               0.000614,               0.000614
                    107,                0.43546,                0.28432,                0.87548,                0.99762,                      1,                  0.995,                0.89384,                0.56667,                0.27997,                  0.818,              0.0006008,              0.0006008,              0.0006008
                    108,                0.40383,                 0.2742,                0.86793,                0.99768,                      1,                  0.995,                0.90574,                0.52642,                0.32839,                 0.8123,              0.0005876,              0.0005876,              0.0005876
                    109,                0.44013,                0.28887,                 0.8711,                0.99768,                      1,                  0.995,                0.89862,                0.55589,                0.29289,                0.80924,              0.0005744,              0.0005744,              0.0005744
                    110,                0.42364,                 0.2771,                0.87274,                0.99761,                      1,                  0.995,                0.88185,                0.65745,                0.26476,                0.81472,              0.0005612,              0.0005612,              0.0005612
                    111,                0.41427,                 0.2715,                0.87088,                0.99766,                      1,                  0.995,                0.87979,                0.49602,                0.24807,                0.81179,               0.000548,               0.000548,               0.000548
                    112,                0.42538,                0.27488,                0.86653,                0.99775,                      1,                  0.995,                0.88816,                0.57192,                0.24306,                0.81782,              0.0005348,              0.0005348,              0.0005348
                    113,                0.41355,                 0.2739,                0.86514,                0.99774,                      1,                  0.995,                0.87895,                0.64472,                0.25362,                 0.8253,              0.0005216,              0.0005216,              0.0005216
                    114,                0.40438,                0.26707,                0.86497,                0.99773,                      1,                  0.995,                0.86941,                 0.5574,                0.25404,                0.81688,              0.0005084,              0.0005084,              0.0005084
                    115,                0.40494,                0.26981,                0.86027,                0.99772,                      1,                  0.995,                0.89389,                0.56378,                0.23868,                0.81481,              0.0004952,              0.0004952,              0.0004952
                    116,                0.41099,                 0.2698,                0.85558,                0.99775,                      1,                  0.995,                0.89488,                0.55089,                0.24985,                0.81441,               0.000482,               0.000482,               0.000482
                    117,                0.42068,                0.28943,                0.87499,                0.99764,                      1,                  0.995,                0.90065,                0.57795,                0.27273,                0.81294,              0.0004688,              0.0004688,              0.0004688
                    118,                0.39391,                0.26304,                 0.8542,                0.99777,                      1,                  0.995,                 0.8894,                0.61265,                0.26704,                0.82515,              0.0004556,              0.0004556,              0.0004556
                    119,                0.41382,                0.27007,                 0.8732,                0.99773,                      1,                  0.995,                0.90167,                0.57286,                0.25928,                0.81977,              0.0004424,              0.0004424,              0.0004424
